Project Name,Package Name,Type Name,Method Name,Test Smell,Cause of the Smell,Resolved,Reason
group27,com.csci5308.medinteract.appointment.controller,AppointmentControllerTest,registerAppointmentTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.,No,"The Missing Assertion smell is apparent in this test since the .addExpect method is being utilized to verify the outcome of the test, given that the focus of this test is on the controller layer."
group27,com.csci5308.medinteract.appointment.controller,AppointmentControllerTest,registerAppointmentFailedTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.,No,"The Missing Assertion smell is apparent in this test since the .addExpect method is being utilized to verify the outcome of the test, given that the focus of this test is on the controller layer."
group27,com.csci5308.medinteract.appointment.controller,AppointmentControllerTest,updateAppointmentTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.,No,"The Missing Assertion smell is apparent in this test since the .addExpect method is being utilized to verify the outcome of the test, given that the focus of this test is on the controller layer."
group27,com.csci5308.medinteract.appointment.controller,AppointmentControllerTest,updateAppointmentFailedTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.,No,"The Missing Assertion smell is apparent in this test since the .addExpect method is being utilized to verify the outcome of the test, given that the focus of this test is on the controller layer."
group27,com.csci5308.medinteract.appointment.controller,AppointmentControllerTest,deleteAppointmentTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.,No,"The Missing Assertion smell is apparent in this test since the .addExpect method is being utilized to verify the outcome of the test, given that the focus of this test is on the controller layer."
group27,com.csci5308.medinteract.appointment.controller,AppointmentControllerTest,deleteAppointmentFailedTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.,No,"The Missing Assertion smell is apparent in this test since the .addExpect method is being utilized to verify the outcome of the test, given that the focus of this test is on the controller layer."
group27,com.csci5308.medinteract.appointment.controller,AppointmentControllerTest,fetchAppointmentsByDoctorTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.,No,"The Missing Assertion smell is apparent in this test since the .addExpect method is being utilized to verify the outcome of the test, given that the focus of this test is on the controller layer."
group27,com.csci5308.medinteract.appointment.controller,AppointmentControllerTest,fetchDoctorNamesByAppointmentsTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.,No,"The Missing Assertion smell is apparent in this test since the .addExpect method is being utilized to verify the outcome of the test, given that the focus of this test is on the controller layer."
group27,com.csci5308.medinteract.appointment.controller,AppointmentControllerTest,fetchAppointmentsByPatientTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.,No,"The Missing Assertion smell is apparent in this test since the .addExpect method is being utilized to verify the outcome of the test, given that the focus of this test is on the controller layer."
group27,com.csci5308.medinteract.appointment.controller,AppointmentControllerTest,fetchAppointmentsByPatientAfterDateTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.,No,"The Missing Assertion smell is apparent in this test since the .addExpect method is being utilized to verify the outcome of the test, given that the focus of this test is on the controller layer."
group27,com.csci5308.medinteract.city.controller,CityControllerTestIT,fetchAll,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.,No,"The Missing Assertion smell is apparent in this test since the .addExpect method is being utilized to verify the outcome of the test, given that the focus of this test is on the controller layer."
group27,com.csci5308.medinteract.city.controller,CityControllerTestIT,getCityId,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.,No,"The Missing Assertion smell is apparent in this test since the .addExpect method is being utilized to verify the outcome of the test, given that the focus of this test is on the controller layer."
group27,com.csci5308.medinteract.city.controller,CityControllerTestIT,getCityName,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.,No,"The Missing Assertion smell is apparent in this test since the .addExpect method is being utilized to verify the outcome of the test, given that the focus of this test is on the controller layer."
group27,com.csci5308.medinteract.city.controller,CityControllerTestIT,getCityIdWithProvince,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.,No,"The Missing Assertion smell is apparent in this test since the .addExpect method is being utilized to verify the outcome of the test, given that the focus of this test is on the controller layer."
group27,com.csci5308.medinteract.Response,ResponseTest,testConstructor,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2,Yes,
group27,com.csci5308.medinteract.notification.controller,NotificationControllerTest,testFetchAll,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.,No,"The Missing Assertion smell is apparent in this test since the .addExpect method is being utilized to verify the outcome of the test, given that the focus of this test is on the controller layer."
group27,com.csci5308.medinteract.doctor.controller,DoctorControllerTest,DoctorControllerTest,Constructor initialization,The tool detected the smell in this class because the class uses its constructor to initialize fields rather than test setup method.,No,The Constructor Initialization smell can be identified as an object of the return type is instantiated for the purpose of comparing values.
group27,com.csci5308.medinteract.doctor.controller,DoctorControllerTest,loginTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.,No,"The Missing Assertion smell is apparent in this test since the .addExpect method is being utilized to verify the outcome of the test, given that the focus of this test is on the controller layer."
group27,com.csci5308.medinteract.doctor.controller,DoctorControllerTest,loginFailedTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.,No,"The Missing Assertion smell is apparent in this test since the .addExpect method is being utilized to verify the outcome of the test, given that the focus of this test is on the controller layer."
group27,com.csci5308.medinteract.doctor.controller,DoctorControllerTest,registerFailTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.,No,"The Missing Assertion smell is apparent in this test since the .addExpect method is being utilized to verify the outcome of the test, given that the focus of this test is on the controller layer."
group27,com.csci5308.medinteract.doctor.controller,DoctorControllerTest,registerTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.,No,"The Missing Assertion smell is apparent in this test since the .addExpect method is being utilized to verify the outcome of the test, given that the focus of this test is on the controller layer."
group27,com.csci5308.medinteract.doctor.controller,DoctorControllerTest,getDoctorByIdTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.,No,"The Missing Assertion smell is apparent in this test since the .addExpect method is being utilized to verify the outcome of the test, given that the focus of this test is on the controller layer."
group27,com.csci5308.medinteract.doctor.controller,DoctorControllerTest,getDoctorByIdFailedTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.,No,"The Missing Assertion smell is apparent in this test since the .addExpect method is being utilized to verify the outcome of the test, given that the focus of this test is on the controller layer."
group27,com.csci5308.medinteract.doctor.controller,DoctorControllerTest,isPendingTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.,No,"The Missing Assertion smell is apparent in this test since the .addExpect method is being utilized to verify the outcome of the test, given that the focus of this test is on the controller layer."
group27,com.csci5308.medinteract.doctor.controller,DoctorControllerTest,isPendingFailedTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.,No,"The Missing Assertion smell is apparent in this test since the .addExpect method is being utilized to verify the outcome of the test, given that the focus of this test is on the controller layer."
group27,com.csci5308.medinteract.doctor.controller,DoctorControllerTest,isApprovedTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.,No,"The Missing Assertion smell is apparent in this test since the .addExpect method is being utilized to verify the outcome of the test, given that the focus of this test is on the controller layer."
group27,com.csci5308.medinteract.doctor.controller,DoctorControllerTest,isApprovedFailedTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.,No,"The Missing Assertion smell is apparent in this test since the .addExpect method is being utilized to verify the outcome of the test, given that the focus of this test is on the controller layer."
group27,com.csci5308.medinteract.doctor.controller,DoctorControllerTest,isBlockedTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.,No,"The Missing Assertion smell is apparent in this test since the .addExpect method is being utilized to verify the outcome of the test, given that the focus of this test is on the controller layer."
group27,com.csci5308.medinteract.doctor.controller,DoctorControllerTest,isBlockedFailedTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.,No,"The Missing Assertion smell is apparent in this test since the .addExpect method is being utilized to verify the outcome of the test, given that the focus of this test is on the controller layer."
group27,com.csci5308.medinteract.doctor.controller,DoctorControllerTest,verifyDoctorTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.,No,"The Missing Assertion smell is apparent in this test since the .addExpect method is being utilized to verify the outcome of the test, given that the focus of this test is on the controller layer."
group27,com.csci5308.medinteract.doctor.controller,DoctorControllerTest,blockDoctorTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.,No,"The Missing Assertion smell is apparent in this test since the .addExpect method is being utilized to verify the outcome of the test, given that the focus of this test is on the controller layer."
group27,com.csci5308.medinteract.doctor.controller,DoctorControllerTest,fetchPrescriptionByPatientIdTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.,No,"The Missing Assertion smell is apparent in this test since the .addExpect method is being utilized to verify the outcome of the test, given that the focus of this test is on the controller layer."
group27,com.csci5308.medinteract.doctor.controller,DoctorControllerTest,findDoctorOnDetailsWithCityTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.,No,"The Missing Assertion smell is apparent in this test since the .addExpect method is being utilized to verify the outcome of the test, given that the focus of this test is on the controller layer."
group27,com.csci5308.medinteract.doctor.controller,DoctorControllerTestIT,fetchAll,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.,No,"The Missing Assertion smell is apparent in this test since the .addExpect method is being utilized to verify the outcome of the test, given that the focus of this test is on the controller layer."
group27,com.csci5308.medinteract.doctor.controller,DoctorControllerTestIT,registerNewDoctor,Conditional test logic,The tool detected the smell in this test method because the test wraps the assert statements within control flow statements.,Yes,
group27,com.csci5308.medinteract.doctor.controller,DoctorControllerTestIT,registerExistingDoctor,Conditional test logic,The tool detected the smell in this test method because the test wraps the assert statements within control flow statements.,Yes,
group27,com.csci5308.medinteract.doctor.controller,DoctorControllerTestIT,login,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.,No,"The Missing Assertion smell is apparent in this test since the .addExpect method is being utilized to verify the outcome of the test, given that the focus of this test is on the controller layer."
group27,com.csci5308.medinteract.doctor.controller,DoctorControllerTestIT,loginWithUnknownUer,Conditional test logic,The tool detected the smell in this test method because the test wraps the assert statements within control flow statements.,Yes,
group27,com.csci5308.medinteract.doctor.controller,DoctorControllerTestIT,getDoctorById,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.,No,"The Missing Assertion smell is apparent in this test since the .addExpect method is being utilized to verify the outcome of the test, given that the focus of this test is on the controller layer."
group27,com.csci5308.medinteract.doctor.controller,DoctorControllerTestIT,getDoctorUsingUnknownId,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.,No,"The Missing Assertion smell is apparent in this test since the .addExpect method is being utilized to verify the outcome of the test, given that the focus of this test is on the controller layer."
group27,com.csci5308.medinteract.doctor.controller,DoctorControllerTestIT,updateDoctorById,Conditional test logic,The tool detected the smell in this test method because the test wraps the assert statements within control flow statements.,Yes,
group27,com.csci5308.medinteract.doctor.controller,DoctorControllerTestIT,updateDoctorByIdWithoutImage,Conditional test logic,The tool detected the smell in this test method because the test wraps the assert statements within control flow statements.,Yes,
group27,com.csci5308.medinteract.doctor.controller,DoctorControllerTestIT,updateDoctorByInvalidId,Conditional test logic,The tool detected the smell in this test method because the test wraps the assert statements within control flow statements.,Yes,
group27,com.csci5308.medinteract.doctor.controller,DoctorControllerTestIT,isPending,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2,Yes,
group27,com.csci5308.medinteract.doctor.controller,DoctorControllerTestIT,isPending,Conditional test logic,The tool detected the smell in this test method because the test wraps the assert statements within control flow statements.,Yes,
group27,com.csci5308.medinteract.doctor.controller,DoctorControllerTestIT,isApproved,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2,Yes,
group27,com.csci5308.medinteract.doctor.controller,DoctorControllerTestIT,isApproved,Conditional test logic,The tool detected the smell in this test method because the test wraps the assert statements within control flow statements.,Yes,
group27,com.csci5308.medinteract.doctor.controller,DoctorControllerTestIT,isBlocked,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2,Yes,
group27,com.csci5308.medinteract.doctor.controller,DoctorControllerTestIT,isBlocked,Conditional test logic,The tool detected the smell in this test method because the test wraps the assert statements within control flow statements.,Yes,
group27,com.csci5308.medinteract.doctor.controller,DoctorControllerTestIT,findDoctorOnDetailsWithCity,Conditional test logic,The tool detected the smell in this test method because the test wraps the assert statements within control flow statements.,Yes,
group27,com.csci5308.medinteract.doctor.service,DoctorServiceTest,DoctorServiceTest,Constructor initialization,The tool detected the smell in this class because the class uses its constructor to initialize fields rather than test setup method.,No,The Constructor Initialization smell can be identified as an object of the return type is instantiated for the purpose of comparing values.
group27,com.csci5308.medinteract.doctor.service,DoctorServiceTest,verifyDoctorTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.,No,"The Missing Assertion smell is apparent in this test since the .addExpect method is being utilized to verify the outcome of the test, given that the focus of this test is on the controller layer."
group27,com.csci5308.medinteract.doctor.service,DoctorServiceTest,blockDoctorTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.,No,"The Missing Assertion smell is apparent in this test since the .addExpect method is being utilized to verify the outcome of the test, given that the focus of this test is on the controller layer."
group27,com.csci5308.medinteract.admin.controller,AdminControllerTestIT,loginSuccess,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.,No,"The Missing Assertion smell is apparent in this test since the .addExpect method is being utilized to verify the outcome of the test, given that the focus of this test is on the controller layer."
group27,com.csci5308.medinteract.admin.controller,AdminControllerTestIT,loginFailed,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.,No,"The Missing Assertion smell is apparent in this test since the .addExpect method is being utilized to verify the outcome of the test, given that the focus of this test is on the controller layer."
group27,com.csci5308.medinteract.admin.model,AdminModelTest,testConstructorWithEmailPassword,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3,Yes,
group27,com.csci5308.medinteract.admin.model,AdminModelTest,testConstructorWithEmailPassword,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.csci5308.medinteract.admin.model.AdminModel.setActive; com.csci5308.medinteract.admin.model.AdminModel.setAdminEmail; com.csci5308.medinteract.admin.model.AdminModel.setAdminPassword; com.csci5308.medinteract.admin.model.AdminModel.getAdminEmail; com.csci5308.medinteract.admin.model.AdminModel.getAdminPassword; com.csci5308.medinteract.admin.model.AdminModel.isActive,No,"""Eager test smells"" are present when multiple functions are required to be tested to ensure their functionality or when they are interdependent on each other."
group27,com.csci5308.medinteract.admin.model,AdminModelTest,testConstructorWithUsernameEmailPassword,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3,Yes,
group27,com.csci5308.medinteract.admin.model,AdminModelTest,testConstructorWithUsernameEmailPassword,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.csci5308.medinteract.admin.model.AdminModel.setActive; com.csci5308.medinteract.admin.model.AdminModel.setAdminEmail; com.csci5308.medinteract.admin.model.AdminModel.setAdminPassword; com.csci5308.medinteract.admin.model.AdminModel.getAdminEmail; com.csci5308.medinteract.admin.model.AdminModel.getAdminPassword; com.csci5308.medinteract.admin.model.AdminModel.isActive,No,"""Eager test smells"" are present when multiple functions are required to be tested to ensure their functionality or when they are interdependent on each other."
group27,com.csci5308.medinteract.province.model,ProvinceModelTest,testConstructor,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4,Yes,
group27,com.csci5308.medinteract.province.model,ProvinceModelTest,testConstructor,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.csci5308.medinteract.province.model.ProvinceModel.setAbbrv; com.csci5308.medinteract.province.model.ProvinceModel.setCities; com.csci5308.medinteract.province.model.ProvinceModel.setId; com.csci5308.medinteract.province.model.ProvinceModel.setName; com.csci5308.medinteract.province.model.ProvinceModel.getAbbrv; com.csci5308.medinteract.province.model.ProvinceModel.getCities; com.csci5308.medinteract.province.model.ProvinceModel.getId; com.csci5308.medinteract.province.model.ProvinceModel.getName,No,"""Eager test smells"" are present when multiple functions are required to be tested to ensure their functionality or when they are interdependent on each other."
group27,com.csci5308.medinteract.province.service,ProvinceServiceTest,testFetchAll,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2,Yes,
group27,com.csci5308.medinteract.prescription.controller,PrescriptionControllerTest,testFetchAllPrescriptions,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.,No,"The Missing Assertion smell is apparent in this test since the .addExpect method is being utilized to verify the outcome of the test, given that the focus of this test is on the controller layer."
group27,com.csci5308.medinteract.prescription.controller,PrescriptionControllerTest,testFetchPrescriptionByPatientId,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.,No,"The Missing Assertion smell is apparent in this test since the .addExpect method is being utilized to verify the outcome of the test, given that the focus of this test is on the controller layer."
group27,com.csci5308.medinteract.prescription.controller,PrescriptionControllerTest,testAddPrescription,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.,No,"The Missing Assertion smell is apparent in this test since the .addExpect method is being utilized to verify the outcome of the test, given that the focus of this test is on the controller layer."
group27,com.csci5308.medinteract.prescription.service,PrescriptionServiceTest,fetchPrescriptionTest,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4,Yes,
group27,com.csci5308.medinteract.prescription.service,PrescriptionServiceTest,fetchPrescriptionTest,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.csci5308.medinteract.prescription.model.PrescriptionModel.setId; com.csci5308.medinteract.prescription.repository.PrescriptionRepository.getPrescriptionModelBy; com.csci5308.medinteract.prescription.service.PrescriptionService.fetchPrescription; com.csci5308.medinteract.prescription.model.PrescriptionModel.getId,No,"""Eager test smells"" are present when multiple functions are required to be tested to ensure their functionality or when they are interdependent on each other."
group27,com.csci5308.medinteract.prescription.service,PrescriptionServiceTest,findAllPrescriptionTest,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3,Yes,
group27,com.csci5308.medinteract.prescription.service,PrescriptionServiceTest,findAllPrescriptionTest,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.csci5308.medinteract.prescription.model.PrescriptionModel.setId; com.csci5308.medinteract.prescription.service.PrescriptionService.findAllPrescription; com.csci5308.medinteract.prescription.model.PrescriptionModel.getId,No,"""Eager test smells"" are present when multiple functions are required to be tested to ensure their functionality or when they are interdependent on each other."
group27,com.csci5308.medinteract.Scheduler,SchedulerTest,SchedulerTest,Constructor initialization,The tool detected the smell in this class because the class uses its constructor to initialize fields rather than test setup method.,No,The Constructor Initialization smell can be identified as an object of the return type is instantiated for the purpose of comparing values.
group27,com.csci5308.medinteract.Scheduler,SchedulerTest,testHourlyScheduler,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.,No,"The Missing Assertion smell is apparent in this test since the .addExpect method is being utilized to verify the outcome of the test, given that the focus of this test is on the controller layer."
group27,com.csci5308.medinteract.Scheduler,SchedulerTest,testDailyScheduler,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.,No,"The Missing Assertion smell is apparent in this test since the .addExpect method is being utilized to verify the outcome of the test, given that the focus of this test is on the controller layer."
group27,com.csci5308.medinteract.WebSockets,WebSocketsTestIT,testConfigureMessageBroker,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.,No,"The Missing Assertion smell is apparent in this test since the .addExpect method is being utilized to verify the outcome of the test, given that the focus of this test is on the controller layer."
group27,com.csci5308.medinteract.feedback.controller,FeedbackControllerTest,saveFeedbackTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.,No,"The Missing Assertion smell is apparent in this test since the .addExpect method is being utilized to verify the outcome of the test, given that the focus of this test is on the controller layer."
group27,com.csci5308.medinteract.feedback.controller,FeedbackControllerTest,fetchFeedbackByDoctorIdAndPatientTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.,No,"The Missing Assertion smell is apparent in this test since the .addExpect method is being utilized to verify the outcome of the test, given that the focus of this test is on the controller layer."
group27,com.csci5308.medinteract.feedback.controller,FeedbackControllerTest,findAvgRatingOfDoctor,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.,No,"The Missing Assertion smell is apparent in this test since the .addExpect method is being utilized to verify the outcome of the test, given that the focus of this test is on the controller layer."
group27,com.csci5308.medinteract.feedback.service,FeedbackServiceTest,saveFeedbackTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.,No,"The Missing Assertion smell is apparent in this test since the .addExpect method is being utilized to verify the outcome of the test, given that the focus of this test is on the controller layer."
group27,com.csci5308.medinteract.patient.controller,PatientControllerTestIT,getPatientById,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.,No,"The Missing Assertion smell is apparent in this test since the .addExpect method is being utilized to verify the outcome of the test, given that the focus of this test is on the controller layer."
group27,com.csci5308.medinteract.patient.controller,PatientControllerTestIT,updateDoctorById,Conditional test logic,The tool detected the smell in this test method because the test wraps the assert statements within control flow statements.,Yes,
group27,com.csci5308.medinteract.patient.controller,PatientControllerTestIT,updateDoctorByIdWithoutImage,Conditional test logic,The tool detected the smell in this test method because the test wraps the assert statements within control flow statements.,Yes,
group27,com.csci5308.medinteract.patient.controller,PatientControllerTestIT,updateDoctorByInvalidId,Conditional test logic,The tool detected the smell in this test method because the test wraps the assert statements within control flow statements.,Yes,
group27,com.csci5308.medinteract.patient.controller,PatientControllerTest,PatientControllerTest,Constructor initialization,The tool detected the smell in this class because the class uses its constructor to initialize fields rather than test setup method.,No,The Constructor Initialization smell can be identified as an object of the return type is instantiated for the purpose of comparing values.
group27,com.csci5308.medinteract.patient.controller,PatientControllerTest,loginTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.,No,"The Missing Assertion smell is apparent in this test since the .addExpect method is being utilized to verify the outcome of the test, given that the focus of this test is on the controller layer."
group27,com.csci5308.medinteract.patient.controller,PatientControllerTest,loginFailedTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.,No,"The Missing Assertion smell is apparent in this test since the .addExpect method is being utilized to verify the outcome of the test, given that the focus of this test is on the controller layer."
group27,com.csci5308.medinteract.patient.controller,PatientControllerTest,registerFailTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.,No,"The Missing Assertion smell is apparent in this test since the .addExpect method is being utilized to verify the outcome of the test, given that the focus of this test is on the controller layer."
group27,com.csci5308.medinteract.patient.controller,PatientControllerTest,registerTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.,No,"The Missing Assertion smell is apparent in this test since the .addExpect method is being utilized to verify the outcome of the test, given that the focus of this test is on the controller layer."
group27,com.csci5308.medinteract.patient.controller,PatientControllerTest,getPatientByIdTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.,No,"The Missing Assertion smell is apparent in this test since the .addExpect method is being utilized to verify the outcome of the test, given that the focus of this test is on the controller layer."
group27,com.csci5308.medinteract.patient.controller,PatientControllerTest,getPatientByIdFailedTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.,No,"The Missing Assertion smell is apparent in this test since the .addExpect method is being utilized to verify the outcome of the test, given that the focus of this test is on the controller layer."
group27,com.csci5308.medinteract.patient.controller,PatientControllerTest,fetchPatientsWithAppointmentTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.,No,"The Missing Assertion smell is apparent in this test since the .addExpect method is being utilized to verify the outcome of the test, given that the focus of this test is on the controller layer."
group27,com.csci5308.medinteract.patient.service,PatientServiceTest,PatientServiceTest,Constructor initialization,The tool detected the smell in this class because the class uses its constructor to initialize fields rather than test setup method.,No,The Constructor Initialization smell can be identified as an object of the return type is instantiated for the purpose of comparing values.
group27,com.csci5308.medinteract,MedinteractApplicationTestIT,contextLoads,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.,No,"The Missing Assertion smell is apparent in this test since the .addExpect method is being utilized to verify the outcome of the test, given that the focus of this test is on the controller layer."
group27,com.csci5308.medinteract,MedinteractApplicationTestIT,contextLoads,Empty test,The tool detected the smell in this test method because the test is empty.,No,Here we are checking context loads.
group27,com.csci5308.medinteract.medicine.controller,MedicineControllerTestIT,addMedicines,Conditional test logic,The tool detected the smell in this test method because the test wraps the assert statements within control flow statements.,Yes,
