Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no,Resolved
group27,com.csci5308.medinteract.appointment.controller,AppointmentController,deleteAppointment,Long Statement,"The length of the statement ""data.put(""message""`""Your appointment with "" + doctorModel.get().getDoctorName() + "" on ""+ appointmentModel.getStartTime().toLocalDate()+ ""` ""+ appointmentModel.getStartTime().toLocalTime()+ "" is deleted!"");"" is 206.",110,Removing this statement would make it harder to understand the code and could potentially lead to errors or confusion.
group27,com.csci5308.medinteract.appointment.controller,AppointmentController,deleteAppointment,Long Statement,"The length of the statement ""NotificationModel notificationModel=new NotificationModel(""patient""`appointmentModel.getPatientId()`data.get(""message"").toString()`""Appointment Cancelled""`""`""danger""`LocalDateTime.now());"" is 188.",110,Removing this statement would make it harder to understand the code and could potentially lead to errors or confusion.
group27,com.csci5308.medinteract.appointment.controller,AppointmentController,deleteAppointment,Long Statement,"The length of the statement ""data.put(""message""`""Your appointment with "" + patientModel.get().getPatientName() + "" on ""+ appointmentModel.getStartTime().toLocalDate()+ ""` ""+ appointmentModel.getStartTime().toLocalTime()+ "" is deleted!"");"" is 208.",110,Removing this statement would make it harder to understand the code and could potentially lead to errors or confusion.
group27,com.csci5308.medinteract.appointment.controller,AppointmentController,deleteAppointment,Long Statement,"The length of the statement ""notificationModel=new NotificationModel(""doctor""`appointmentModel.getDoctorId()`data.get(""message"").toString()`""Appointment Cancelled""`""`""danger""`LocalDateTime.now());"" is 168.",110,Removing this statement would make it harder to understand the code and could potentially lead to errors or confusion.
group27,com.csci5308.medinteract.appointment.controller,AppointmentController,fetchAppointmentsByDoctor,Long Statement,"The length of the statement ""List<AppointmentModel> appointmentModelList=appointmentServiceImpl.fetchAppointmentsByDoctor(appointmentModel.getDoctorId());"" is 125.",144,Removing this statement would make it harder to understand the code and could potentially lead to errors or confusion.
group27,com.csci5308.medinteract.appointment.controller,AppointmentController,fetchAppointmentsByPatient,Long Statement,"The length of the statement ""List<AppointmentModel> appointmentModelList=appointmentServiceImpl.fetchAppointmentsByPatient(appointmentModel.getPatientId());"" is 127.",160,Removing this statement would make it harder to understand the code and could potentially lead to errors or confusion.
group27,com.csci5308.medinteract.appointment.controller,AppointmentController,fetchAppointmentsByPatientAfterDate,Long Statement,"The length of the statement ""List<AppointmentModel> appointmentModelList=appointmentServiceImpl.fetchAppointmentsByPatientAfterDate(appointmentModel.getPatientId()`dateTime);"" is 145.",168,Removing this statement would make it harder to understand the code and could potentially lead to errors or confusion.
group27,com.csci5308.medinteract.appointment.controller,AppointmentControllerTest,registerAppointment,Long Statement,"The length of the statement ""mockMvc.perform(post(""http://localhost:6969/appointment/register"").contentType(MediaType.APPLICATION_JSON).content(json)).andExpect(status().isOk()).andExpect(jsonPath(""$.msg"").value(""Appointment registered Successfully!"")).andExpect(jsonPath(""$.isError"").value(""false""));"" is 272.",28,Removing this statement would make it harder to understand the code and could potentially lead to errors or confusion.
group27,com.csci5308.medinteract.appointment.controller,AppointmentControllerTest,registerAppointment,Magic Number,The method contains a magic number: 12,28,Predefined value for test
group27,com.csci5308.medinteract.appointment.controller,AppointmentControllerTest,registerAppointment,Magic Number,The method contains a magic number: 37,28,Predefined value for test
group27,com.csci5308.medinteract.appointment.controller,AppointmentControllerTest,fetchAppointmentsByDoctor,Long Statement,"The length of the statement ""mockMvc.perform(post(""http://localhost:6969/appointment/fetchAppointmentsByPatient"").contentType(MediaType.APPLICATION_JSON).content(json)).andExpect(status().isOk()).andExpect(jsonPath(""$.msg"").value(""Appointments fetched Successfully!"")).andExpect(jsonPath(""$.isError"").value(""false""));"" is 288.",58,Removing this statement would make it harder to understand the code and could potentially lead to errors or confusion.
group27,com.csci5308.medinteract.appointment.controller,AppointmentControllerTest,fetchAppointmentsByDoctor,Magic Number,The method contains a magic number: 12,58,Predefined value for test
group27,com.csci5308.medinteract.appointment.controller,AppointmentControllerTest,fetchAppointmentsByPatient,Long Statement,"The length of the statement ""mockMvc.perform(post(""http://localhost:6969/appointment/fetchAppointmentsByDoctor"").contentType(MediaType.APPLICATION_JSON).content(json)).andExpect(status().isOk()).andExpect(jsonPath(""$.msg"").value(""Appointments fetched Successfully!"")).andExpect(jsonPath(""$.isError"").value(""false""));"" is 287.",77,Removing this statement would make it harder to understand the code and could potentially lead to errors or confusion.
group27,com.csci5308.medinteract.appointment.controller,AppointmentControllerTest,fetchAppointmentsByPatient,Magic Number,The method contains a magic number: 37,77,Predefined value for test
group27,com.csci5308.medinteract.article.controller,ArticleController,addArticle,Magic Number,The method contains a magic number: 10,34,Resolved
group27,com.csci5308.medinteract.city.controller,CityControllerTest,fetchAll,Long Statement,"The length of the statement ""mockMvc.perform(get(""http://localhost:6969/city/fetchAll"")).andExpect(status().isOk()).andExpect(jsonPath(""$.msg"").value(""All cities fetched successfully"")).andExpect(jsonPath(""$.isError"").value(""false""));"" is 205.",29,Removing this statement would make it harder to understand the code and could potentially lead to errors or confusion.
group27,com.csci5308.medinteract.city.controller,CityControllerTest,getCityId,Long Statement,"The length of the statement ""mockMvc.perform(post(""http://localhost:6969/city/city_id"").contentType(MediaType.APPLICATION_JSON).content(json)).andExpect(status().isOk()).andExpect(jsonPath(""$.msg"").value(""City Id found"")).andExpect(jsonPath(""$.isError"").value(""false""));"" is 241.",37,Removing this statement would make it harder to understand the code and could potentially lead to errors or confusion.
group27,com.csci5308.medinteract.city.controller,CityControllerTest,getCityName,Long Statement,"The length of the statement ""mockMvc.perform(post(""http://localhost:6969/city/city_name"").contentType(MediaType.APPLICATION_JSON).content(json)).andExpect(status().isOk()).andExpect(jsonPath(""$.msg"").value(""City name found"")).andExpect(jsonPath(""$.isError"").value(""false""));"" is 245.",56,Removing this statement would make it harder to understand the code and could potentially lead to errors or confusion.
group27,com.csci5308.medinteract.city.controller,CityControllerTest,getCityIdWithProvince,Long Statement,"The length of the statement ""mockMvc.perform(post(""http://localhost:6969/city/city_name_with_province"").contentType(MediaType.APPLICATION_JSON).content(json)).andExpect(status().isOk()).andExpect(jsonPath(""$.msg"").value(""City Id found"")).andExpect(jsonPath(""$.isError"").value(""false""));"" is 257.",75,Removing this statement would make it harder to understand the code and could potentially lead to errors or confusion.
group27,com.csci5308.medinteract.doctor.Controller,DoctorController,login,Long Statement,"The length of the statement ""Response res=new Response(jwtTokenUtil.generateToken(doctorModel.getDoctorEmail()`""doctor""`doctorModel)`false`""Doctor logged in Successfully!"");"" is 144.",66,Removing this statement would make it harder to understand the code and could potentially lead to errors or confusion.
group27,com.csci5308.medinteract.doctor.Controller,DoctorController,getDoctorById,Complex Conditional,The conditional expression doctorModel.isEmpty() || doctorModel.get().isBlocked() || !doctorModel.get().isActive() is complex.,108,Resolved
group27,com.csci5308.medinteract.doctor.Controller,DoctorController,updateDoctorById,Long Statement,"The length of the statement ""if (optionalDoctorModel.isEmpty() || !optionalDoctorModel.get().getDoctorEmail().equals(updatedDoctorModel.getDoctorEmail())) {"" is 127.",144,Resolved
group27,com.csci5308.medinteract.doctor.Controller,DoctorController,updateDoctorById,Magic Number,The method contains a magic number: 2,144,Resolved
group27,com.csci5308.medinteract.doctor.Controller,DoctorController,updateDoctorById,Magic Number,The method contains a magic number: 10,144,Resolved
group27,com.csci5308.medinteract.doctor.Controller,DoctorControllerTest,fetchAll,Long Statement,"The length of the statement ""mockMvc.perform(get(""http://localhost:6969/doctor/fetchAll"")).andExpect(status().isOk()).andExpect(jsonPath(""$.msg"").value(""All doctors fetched Successfully!"")).andExpect(jsonPath(""$.isError"").value(""false""));"" is 209.",23,Removing this statement would make it harder to understand the code and could potentially lead to errors or confusion.
group27,com.csci5308.medinteract.doctor.Controller,DoctorControllerTest,login,Long Statement,"The length of the statement ""mockMvc.perform(post(""http://localhost:6969/doctor/login"").contentType(MediaType.APPLICATION_JSON).content(json)).andExpect(status().isOk()).andExpect(jsonPath(""$.msg"").value(""Doctor logged in Successfully!"")).andExpect(jsonPath(""$.isError"").value(""false""));"" is 258.",39,Removing this statement would make it harder to understand the code and could potentially lead to errors or confusion.
group27,com.csci5308.medinteract.doctor.Controller,DoctorControllerTest,fetchDoctorsOnCity,Long Statement,"The length of the statement ""mockMvc.perform(post(""http://localhost:6969/doctor/city"").contentType(MediaType.APPLICATION_JSON).content(json)).andExpect(status().isOk()).andExpect(jsonPath(""$.msg"").value(""Doctor in City found successfully!"")).andExpect(jsonPath(""$.isError"").value(""false""));"" is 261.",60,Removing this statement would make it harder to understand the code and could potentially lead to errors or confusion.
group27,com.csci5308.medinteract.doctor.Controller,DoctorControllerTest,getDoctorById,Long Statement,"The length of the statement ""mockMvc.perform(get(""http://localhost:6969/doctor/profile/"" + doctorId)).andExpect(status().isOk()).andExpect(jsonPath(""$.msg"").value(""Doctor details fetched Successfully!"")).andExpect(jsonPath(""$.isError"").value(""false""));"" is 223.",81,Removing this statement would make it harder to understand the code and could potentially lead to errors or confusion.
group27,com.csci5308.medinteract.doctor.Controller,DoctorControllerTest,getDoctorById,Magic Number,The method contains a magic number: 37,81,Predefined value for test
group27,com.csci5308.medinteract.doctor.Controller,DoctorControllerTest,fetchDoctorsOnName,Long Statement,"The length of the statement ""mockMvc.perform(post(""http://localhost:6969/doctor/name"").contentType(MediaType.APPLICATION_JSON).content(json)).andExpect(status().isOk()).andExpect(jsonPath(""$.msg"").value(""Doctor by name found successfully!"")).andExpect(jsonPath(""$.isError"").value(""false""));"" is 261.",90,Removing this statement would make it harder to understand the code and could potentially lead to errors or confusion.
group27,com.csci5308.medinteract.doctor.Controller,DoctorControllerTest,fetchDoctorsOnQualification,Long Statement,"The length of the statement ""mockMvc.perform(post(""http://localhost:6969/doctor/qualification"").contentType(MediaType.APPLICATION_JSON).content(json)).andExpect(status().isOk()).andExpect(jsonPath(""$.msg"").value(""Doctor by qualification found successfully!"")).andExpect(jsonPath(""$.isError"").value(""false""));"" is 279.",109,Removing this statement would make it harder to understand the code and could potentially lead to errors or confusion.
group27,com.csci5308.medinteract.doctor.Controller,DoctorControllerTest,deleteDoctorById,Long Statement,"The length of the statement ""mockMvc.perform(delete(""http://localhost:6969/doctor/"" + doctorID)).andExpect(status().isOk()).andExpect(jsonPath(""$.msg"").value(""User deleted Successfully!"")).andExpect(jsonPath(""$.isError"").value(""false""));"" is 208.",127,Removing this statement would make it harder to understand the code and could potentially lead to errors or confusion.
group27,com.csci5308.medinteract.doctor.Controller,DoctorControllerTest,deleteDoctorById,Magic Number,The method contains a magic number: 11,127,Predefined value for test
group27,com.csci5308.medinteract.doctor.Controller,DoctorControllerTest,isApproved,Long Statement,"The length of the statement ""mockMvc.perform(get(""http://localhost:6969/doctor/isApproved"")).andExpect(status().isOk()).andExpect(jsonPath(""$.msg"").value(""Approved Doctors Fetched!"")).andExpect(jsonPath(""$.isError"").value(""false""));"" is 203.",164,Removing this statement would make it harder to understand the code and could potentially lead to errors or confusion.
group27,com.csci5308.medinteract.doctor.Controller,DoctorControllerTest,isBlocked,Long Statement,"The length of the statement ""mockMvc.perform(get(""http://localhost:6969/doctor/isBlocked"")).andExpect(status().isOk()).andExpect(jsonPath(""$.msg"").value(""Blocked Doctors Fetched!"")).andExpect(jsonPath(""$.isError"").value(""false""));"" is 201.",175,Removing this statement would make it harder to understand the code and could potentially lead to errors or confusion.
group27,com.csci5308.medinteract.doctor.Controller,DoctorControllerTest,verifyDoctor,Long Statement,"The length of the statement ""http: mockMvc.perform(post(""http://localhost:6969/doctor/verified?doctorEmail="" + doctorEmail + ""&isActive=""+ active+ ""&isBlocked=""+ block)).andExpect(status().isOk());"" is 168.",183,Removing this statement would make it harder to understand the code and could potentially lead to errors or confusion.
group27,com.csci5308.medinteract.doctor.Controller,DoctorControllerTest,blockDoctor,Long Statement,"The length of the statement ""mockMvc.perform(post(""http://localhost:6969/doctor/blocked?doctorEmail=t"" + doctorEmail + ""&isBlocked=""+ block)).andExpect(status().isOk());"" is 140.",196,Removing this statement would make it harder to understand the code and could potentially lead to errors or confusion.
group27,com.csci5308.medinteract.doctor.Model,DoctorModel,DoctorModel,Long Parameter List,The method has 14 parameters.,101,Removing the parameter could cause the function or method to fail or produce incorrect results.
group27,com.csci5308.medinteract.doctor.Model,DoctorModel,DoctorModel,Long Parameter List,The method has 14 parameters.,123,Removing the parameter could cause the function or method to fail or produce incorrect results.
group27,com.csci5308.medinteract.doctor.Service,DoctorService,updateDoctorById,Long Parameter List,The method has 5 parameters.,42,Removing the parameter could cause the function or method to fail or produce incorrect results.
group27,com.csci5308.medinteract.doctor.Service,DoctorServiceImpl,isDoctorValid,Complex Conditional,The conditional expression doctor.isPresent() && doctor.get().getDoctorPassword().equals(encodedPassword) && doctor.get().isActive()&& !doctor.get().isBlocked() is complex.,58,Resolved
group27,com.csci5308.medinteract.doctor.Service,DoctorServiceImpl,isDoctorValid,Long Statement,"The length of the statement ""if (doctor.isPresent() && doctor.get().getDoctorPassword().equals(encodedPassword) && doctor.get().isActive()&& !doctor.get().isBlocked()) {"" is 140.",58,Resolved
group27,com.csci5308.medinteract.doctor.Service,DoctorServiceImpl,updateDoctorById,Complex Conditional,The conditional expression new_doctorName != null && new_doctorName.length() > 0 && !Objects.equals(doctorModel.getDoctorName()`new_doctorName) is complex.,112,Resolved
group27,com.csci5308.medinteract.doctor.Service,DoctorServiceImpl,updateDoctorById,Complex Conditional,The conditional expression new_doctorAddressPostalCode != null && new_doctorAddressPostalCode.length() > 0 && !Objects.equals(doctorModel.getDoctorAddressPostalCode()`new_doctorAddressPostalCode) is complex.,112,Resolved
group27,com.csci5308.medinteract.doctor.Service,DoctorServiceImpl,updateDoctorById,Complex Conditional,The conditional expression new_doctorAddressStreet != null && new_doctorAddressStreet.length() > 0 && !Objects.equals(doctorModel.getDoctorAddressStreet()`new_doctorAddressStreet) is complex.,112,Resolved
group27,com.csci5308.medinteract.doctor.Service,DoctorServiceImpl,updateDoctorById,Complex Conditional,The conditional expression new_doctorMobileNumber != null && new_doctorMobileNumber.length() > 0 && !Objects.equals(doctorModel.getDoctorMobileNumber()`new_doctorMobileNumber) is complex.,112,Resolved
group27,com.csci5308.medinteract.doctor.Service,DoctorServiceImpl,updateDoctorById,Long Parameter List,The method has 5 parameters.,112,Resolved
group27,com.csci5308.medinteract.doctor.Service,DoctorServiceImpl,updateDoctorById,Long Statement,"The length of the statement ""DoctorModel doctorModel=doctorRepository.findById(id).orElseThrow(() -> new IllegalStateException(""Doctor with id "" + id + "" does not exist""));"" is 143.",112,Resolved
group27,com.csci5308.medinteract.doctor.Service,DoctorServiceImpl,updateDoctorById,Long Statement,"The length of the statement ""if (new_doctorName != null && new_doctorName.length() > 0 && !Objects.equals(doctorModel.getDoctorName()`new_doctorName)) {"" is 123.",112,Resolved
group27,com.csci5308.medinteract.doctor.Service,DoctorServiceImpl,updateDoctorById,Long Statement,"The length of the statement ""if (new_doctorAddressPostalCode != null && new_doctorAddressPostalCode.length() > 0 && !Objects.equals(doctorModel.getDoctorAddressPostalCode()`new_doctorAddressPostalCode)) {"" is 175.",112,Resolved
group27,com.csci5308.medinteract.doctor.Service,DoctorServiceImpl,updateDoctorById,Long Statement,"The length of the statement ""if (new_doctorAddressStreet != null && new_doctorAddressStreet.length() > 0 && !Objects.equals(doctorModel.getDoctorAddressStreet()`new_doctorAddressStreet)) {"" is 159.",112,Resolved
group27,com.csci5308.medinteract.doctor.Service,DoctorServiceImpl,updateDoctorById,Long Statement,"The length of the statement ""if (new_doctorMobileNumber != null && new_doctorMobileNumber.length() > 0 && !Objects.equals(doctorModel.getDoctorMobileNumber()`new_doctorMobileNumber)) {"" is 155.",112,Resolved
group27,com.csci5308.medinteract.doctor.Service,DoctorServiceImpl,findDoctorOnDetailsWithCity,Magic Number,The method contains a magic number: 2,205,It is an list index
group27,com.csci5308.medinteract.doctor.Service,DoctorServiceImpl,findDoctorOnDetailsWithCityAndFeedback,Magic Number,The method contains a magic number: 2,235,It is an list index
group27,com.csci5308.medinteract.doctor.Service,DoctorServiceImpl,findDoctorOnDetailsWithCityAndFeedback,Magic Number,The method contains a magic number: 3,235,It is an list index
group27,com.csci5308.medinteract.doctor.Service,DoctorServiceImpl,findDoctorOnDetailsWithCityAndFeedback,Magic Number,The method contains a magic number: 4,235,It is an list index
group27,com.csci5308.medinteract.feedback.Model,FeedbackModel,FeedbackModel,Long Parameter List,The method has 6 parameters.,71,Removing the parameter could cause the function or method to fail or produce incorrect results.
group27,com.csci5308.medinteract.feedback.Service,FeebackServiceImpl,fetchFeedbackByDoctorIdAndPatient,Long Statement,"The length of the statement ""FeedbackModel feedbackModelCurrentPatient=feedbackRepository.findByDoctorIdAndPatientId(feedbackModel.getDoctorId()`feedbackModel.getPatientId());"" is 146.",44,Removing this statement would make it harder to understand the code and could potentially lead to errors or confusion.
group27,com.csci5308.medinteract.notification.controller,NotificationController,fetchAll,Long Statement,"The length of the statement ""List<NotificationModel> notificationModelList=notificationServiceImpl.fetchAll(notificationModel.getUserId()`notificationModel.getUserType());"" is 142.",23,Removing this statement would make it harder to understand the code and could potentially lead to errors or confusion.
group27,com.csci5308.medinteract.notification.model,NotificationModel,NotificationModel,Long Parameter List,The method has 7 parameters.,51,Removing the parameter could cause the function or method to fail or produce incorrect results.
group27,com.csci5308.medinteract.patient.controller,PatientController,login,Long Statement,"The length of the statement ""Response res=new Response(jwtTokenUtil.generateToken(patientModel.getPatientEmail()`""patient""`patientModel)`false`""Patient logged in Successfully!"");"" is 149.",69,Removing this statement would make it harder to understand the code and could potentially lead to errors or confusion.
group27,com.csci5308.medinteract.patient.controller,PatientController,getPatientById,Complex Conditional,The conditional expression patientModel.isEmpty() || patientModel.get().isBlocked() || !patientModel.get().isActive() is complex.,93,Resolved
group27,com.csci5308.medinteract.patient.controller,PatientController,updatePatientById,Long Statement,"The length of the statement ""if (optionalPatientModel.isEmpty() || !optionalPatientModel.get().getPatientEmail().equals(updatedPatientModel.getPatientEmail())) {"" is 132.",112,Resolved
group27,com.csci5308.medinteract.patient.controller,PatientController,updatePatientById,Magic Number,The method contains a magic number: 2,112,Resolved
group27,com.csci5308.medinteract.patient.controller,PatientController,updatePatientById,Magic Number,The method contains a magic number: 10,112,Resolved
group27,com.csci5308.medinteract.patient.controller,PatientControllerTest,fetchAll,Long Statement,"The length of the statement ""mockMvc.perform(get(""http://localhost:6969/patient/fetchAll"")).andExpect(status().isOk()).andExpect(jsonPath(""$.msg"").value(""All Patients Fetched Successfully!"")).andExpect(jsonPath(""$.isError"").value(""false""));"" is 211.",24,Removing this statement would make it harder to understand the code and could potentially lead to errors or confusion.
group27,com.csci5308.medinteract.patient.controller,PatientControllerTest,login,Long Statement,"The length of the statement ""mockMvc.perform(post(""http://localhost:6969/patient/login"").contentType(MediaType.APPLICATION_JSON).content(json)).andExpect(status().isOk()).andExpect(jsonPath(""$.msg"").value(""Patient logged in Successfully!"")).andExpect(jsonPath(""$.isError"").value(""false""));"" is 260.",33,Removing this statement would make it harder to understand the code and could potentially lead to errors or confusion.
group27,com.csci5308.medinteract.patient.controller,PatientControllerTest,getPatientById,Long Statement,"The length of the statement ""mockMvc.perform(get(""http://localhost:6969/patient/profile/"" + patientID)).andExpect(status().isOk()).andExpect(jsonPath(""$.msg"").value(""Patient details fetched Successfully!"")).andExpect(jsonPath(""$.isError"").value(""false""));"" is 226.",57,Removing this statement would make it harder to understand the code and could potentially lead to errors or confusion.
group27,com.csci5308.medinteract.patient.controller,PatientControllerTest,getPatientById,Magic Number,The method contains a magic number: 10,57,Resolved
group27,com.csci5308.medinteract.patient.model,PatientModel,PatientModel,Long Parameter List,The method has 13 parameters.,107,Removing the parameter could cause the function or method to fail or produce incorrect results.
group27,com.csci5308.medinteract.patient.service,PatientService,updatePatientById,Long Parameter List,The method has 5 parameters.,31,Resolved
group27,com.csci5308.medinteract.patient.service,PatientServiceImpl,isPatientValid,Complex Conditional,The conditional expression patient.isPresent() && patient.get().getPatientPassword().equals(encodedPassword) && patient.get().isActive()&& !patient.get().isBlocked() is complex.,55,Resolved
group27,com.csci5308.medinteract.patient.service,PatientServiceImpl,isPatientValid,Long Statement,"The length of the statement ""if (patient.isPresent() && patient.get().getPatientPassword().equals(encodedPassword) && patient.get().isActive()&& !patient.get().isBlocked()) {"" is 145.",55,Resolved
group27,com.csci5308.medinteract.patient.service,PatientServiceImpl,updatePatientById,Complex Conditional,The conditional expression new_patientName != null && new_patientName.length() > 0 && !Objects.equals(patientModel.getPatientName()`new_patientName) is complex.,94,Resolved
group27,com.csci5308.medinteract.patient.service,PatientServiceImpl,updatePatientById,Complex Conditional,The conditional expression new_patientAddressPostalCode != null && new_patientAddressPostalCode.length() > 0 && !Objects.equals(patientModel.getPatientAddressPostalCode()`new_patientAddressPostalCode) is complex.,94,Resolved
group27,com.csci5308.medinteract.patient.service,PatientServiceImpl,updatePatientById,Complex Conditional,The conditional expression new_patientAddressStreet != null && new_patientAddressStreet.length() > 0 && !Objects.equals(patientModel.getPatientAddressStreet()`new_patientAddressStreet) is complex.,94,Resolved
group27,com.csci5308.medinteract.patient.service,PatientServiceImpl,updatePatientById,Complex Conditional,The conditional expression new_patientMobileNumber != null && new_patientMobileNumber.length() > 0 && !Objects.equals(patientModel.getPatientMobileNumber()`new_patientMobileNumber) is complex.,94,Resolved
group27,com.csci5308.medinteract.patient.service,PatientServiceImpl,updatePatientById,Long Parameter List,The method has 5 parameters.,94,Resolved
group27,com.csci5308.medinteract.patient.service,PatientServiceImpl,updatePatientById,Long Statement,"The length of the statement ""PatientModel patientModel=patientRepository.findById(id).orElseThrow(() -> new IllegalStateException(""Patient with id "" + id + "" does not exist""));"" is 147.",94,Resolved
group27,com.csci5308.medinteract.patient.service,PatientServiceImpl,updatePatientById,Long Statement,"The length of the statement ""if (new_patientName != null && new_patientName.length() > 0 && !Objects.equals(patientModel.getPatientName()`new_patientName)) {"" is 128.",94,Resolved
group27,com.csci5308.medinteract.patient.service,PatientServiceImpl,updatePatientById,Long Statement,"The length of the statement ""if (new_patientAddressPostalCode != null && new_patientAddressPostalCode.length() > 0 && !Objects.equals(patientModel.getPatientAddressPostalCode()`new_patientAddressPostalCode)) {"" is 180.",94,Resolved
group27,com.csci5308.medinteract.patient.service,PatientServiceImpl,updatePatientById,Long Statement,"The length of the statement ""if (new_patientAddressStreet != null && new_patientAddressStreet.length() > 0 && !Objects.equals(patientModel.getPatientAddressStreet()`new_patientAddressStreet)) {"" is 164.",94,Resolved
group27,com.csci5308.medinteract.patient.service,PatientServiceImpl,updatePatientById,Long Statement,"The length of the statement ""if (new_patientMobileNumber != null && new_patientMobileNumber.length() > 0 && !Objects.equals(patientModel.getPatientMobileNumber()`new_patientMobileNumber)) {"" is 160.",94,Resolved
group27,com.csci5308.medinteract.utilities,LocalDateTimeDeserializer,deserialize,Long Statement,"The length of the statement ""return LocalDateTime.parse(json.getAsString()`DateTimeFormatter.ofPattern(""yyyy-MM-dd HH:mm:ss"").withLocale(Locale.ENGLISH));"" is 125.",12,Removing this statement would make it harder to understand the code and could potentially lead to errors or confusion.
group27,com.csci5308.medinteract.utilities,Scheduler,testScheduler,Long Statement,"The length of the statement ""data.put(""message""`""Your upcoming appointment with "" + doctorModel.getDoctorName() + "" on ""+ appointmentModel.getStartTime().toLocalDate()+ ""` ""+ appointmentModel.getStartTime().toLocalTime()+ "" is scheduled for within one hour!"");"" is 231.",35,Removing this statement would make it harder to understand the code and could potentially lead to errors or confusion.
group27,com.csci5308.medinteract.utilities,Scheduler,testScheduler,Long Statement,"The length of the statement ""NotificationModel notificationModel=new NotificationModel(""patient""`patientModel.getId()`data.get(""message"").toString()`""Hourly Reminder""`""`""primary""`LocalDateTime.now());"" is 172.",35,Removing this statement would make it harder to understand the code and could potentially lead to errors or confusion.
